"Facility_Number","School_Type","School District or Name","County","MMR_Vaccination_Rate","age_group","Facility_Adress"
370069000291,"Public","Startown Elementary","Catawba County",0.987,"Kindergarten","4119 Startown Road, Newton, NC 28658"
29,"Private","Tabernacle Christian School (Catawba)","Catawba County",0.909,"Kindergarten",NA
370219000950,"Public","Viewmont Elementary","Catawba County",0.928,"Kindergarten","21 16th Avenue NW, Hickory, NC 28601"
370219000945,"Public","W M Jenkins Elementary","Catawba County",1,"Kindergarten","3750 N Center Street, Hickory, NC 28601"
370069000293,"Public","Webb A Murray Elementary","Catawba County",0.965,"Kindergarten","3901 Section House Road, Hickory, NC 28601"
370075000304,"Public","Bennett School","Chatham County",1,"Kindergarten","61 Randolph Street, Bennett, NC 27208"
370075000305,"Public","Bonlee School","Chatham County",1,"Kindergarten","152 Bonlee School Road, Bear Creek, NC 27207"
370002002081,"Charter/Lab","Chatham Charter","Chatham County",1,"Kindergarten","2200 Hamp Stone Rd, Siler City, NC 27344"
370075000310,"Public","J S Waters School","Chatham County",1,"Kindergarten","55 J S Waters School Road, Goldston, NC 27252"
370075000312,"Public","Moncure School","Chatham County",1,"Kindergarten","600 Moncure School Road, Moncure, NC 27559"
370075002288,"Public","North Chatham Elementary","Chatham County",0.957,"Kindergarten","3380 Lystra Road, Chapel Hill, NC 27517"
370075002080,"Public","Perry W Harrison Elementary","Chatham County",0.944,"Kindergarten","2655 Hamlet Chapel Road, Pittsboro, NC 27312"
370075000314,"Public","Pittsboro Elementary","Chatham County",0.935,"Kindergarten","375 Pittsboro School Road, Pittsboro, NC 27312"
30,"Private","Primrose School of Chapel Hill at Briar Chapel","Chatham County",0.955,"Kindergarten",NA
370075000315,"Public","Siler City Elementary","Chatham County",0.979,"Kindergarten","671 Ellington Road, Siler City, NC 27344"
370075000316,"Public","Silk Hope School","Chatham County",0.931,"Kindergarten","7945 Silk Hope Gum Springs Rd, Siler City, NC 27344"
370075002815,"Public","Virginia Cross Elementary","Chatham County",0.986,"Kindergarten","234 Cross School Road, Siler City, NC 27344"
370034103301,"Charter/Lab","Willow Oak Montessori","Chatham County",0.679,"Kindergarten","1476 Andrews Store Road, Pittsboro, NC 27312"
370005302372,"Charter/Lab","Woods Charter","Chatham County",1,"Kindergarten","160 Woodland Grove Ln, Chapel Hill, NC 27516"
370078000317,"Public","Andrews Elementary","Cherokee County",0.87,"Kindergarten","205 Jean Christy Ave., Andrews, NC 28901"
370078000321,"Public","Martins Creek Elementary/Mid","Cherokee County",1,"Kindergarten","1459 Tobe Stalcup Road, Murphy, NC 28906"
370078000322,"Public","Murphy Elementary","Cherokee County",0.951,"Kindergarten","315 Valley River Avenue, Murphy, NC 28906"
370078000324,"Public","Peachtree Elementary","Cherokee County",1,"Kindergarten","30 Upper Peachtree Road, Murphy, NC 28906"
370078000325,"Public","Ranger Elementary/Middle","Cherokee County",0.926,"Kindergarten","101 Hardy Truett Road, Murphy, NC 28906"
370084000331,"Public","White Oak Elementary","Chowan County",0.957,"Kindergarten","111 Sandy Ridge Road, Edenton, NC 27932"
370087003526,"Public","Hayesville Primary School","Clay County",0.928,"Kindergarten","698 Anderson St, Hayesville, NC 28904"
370090000338,"Public","Casar Elementary","Cleveland County",0.927,"Kindergarten","436 Schoolhouse Road, Casar, NC 28020"
31,"Private","Grace Christian Academy (Cleveland)","Cleveland County",1,"Kindergarten",NA
370090002711,"Public","Grover Elementary","Cleveland County",0.982,"Kindergarten","206 Carolina Avenue, Grover, NC 28073"
370090002712,"Public","James Love Elementary","Cleveland County",0.982,"Kindergarten","309 James Love Road, Shelby, NC 28152"
370090002718,"Public","North Elementary","Cleveland County",1,"Kindergarten","900 N Ramseur Street, Kings Mountain, NC 28086"
370035303291,"Charter/Lab","Pinnacle Classical Academy","Cleveland County",0.957,"Kindergarten","2401 Joes Lake Rd, Shelby, NC 28152"
370090002509,"Public","Springmore Elementary","Cleveland County",0.989,"Kindergarten","616 McBrayer Homestead Road, Shelby, NC 28152"
370090000348,"Public","Township Three Elementary","Cleveland County",0.974,"Kindergarten","526 Davis Road, Shelby, NC 28152"
370090002722,"Public","West Elementary","Cleveland County",0.95,"Kindergarten","500 W Mountain Street, Kings Mountain, NC 28086"
370096000357,"Public","Acme Delco Elementary","Columbus County",0.949,"Kindergarten","16337 Old Lake Road, Riegelwood, NC 28456"
370096000362,"Public","Chadbourn Elementary","Columbus County",1,"Kindergarten","409 E Third Avenue, Chadbourn, NC 28431"
370096000367,"Public","Hallsboro-Artesia Elementary","Columbus County",0.964,"Kindergarten","1337 Giles Byrd Road, Hallsboro, NC 28442"
370096000370,"Public","Old Dock Elementary","Columbus County",0.957,"Kindergarten","12489 New Britton Hwy, Whiteville, NC 28472"
370096000371,"Public","Tabor City Elementary","Columbus County",0.968,"Kindergarten","203 Stake Road, Tabor City, NC 28463"
370492001969,"Public","Whiteville Primary","Columbus County",0.986,"Kindergarten","805 Barbcrest Avenue, Whiteville, NC 28472"
370096000374,"Public","Williams Township","Columbus County",0.934,"Kindergarten","10400 James B White Hwy, Whiteville, NC 28472"
370331000380,"Public","Albert H Bangert Elementary","Craven County",0.983,"Kindergarten","3712 Canterbury Road, New Bern, NC 28562"
32,"Private","Annunciation Catholic School","Craven County",0.905,"Kindergarten",NA
370331002181,"Public","Arthur W Edwards Elementary","Craven County",0.975,"Kindergarten","200 Education Lane, Havelock, NC 28532"
370331002310,"Public","Ben D Quinn Elementary","Craven County",0.954,"Kindergarten","4275 M L King Jr Boulevard, New Bern, NC 28562"
370331000381,"Public","Bridgeton Elementary","Craven County",0.833,"Kindergarten","230 Branch Canal Road, New Bern, NC 28560"
370331002171,"Public","Brinson Memorial Elementary","Craven County",0.966,"Kindergarten","319 Neuse Forest Avenue, New Bern, NC 28560"
33,"Private","Calvary Baptist Church School","Craven County",0.909,"Kindergarten",NA
34,"Private","Epiphany School of Global Studies","Craven County",0.944,"Kindergarten",NA
370331002175,"Public","Havelock Elementary","Craven County",0.969,"Kindergarten","201 Cunningham Boulevard, Havelock, NC 28532"
370331000387,"Public","J T Barber Elementary","Craven County",1,"Kindergarten","1700 Cobb Street, New Bern, NC 28560"
370331002211,"Public","James W Smith Elementary","Craven County",0.962,"Kindergarten","150 Koonce Town Road, Cove City, NC 28523"
35,"Private","New Bern Christian Academy","Craven County",0.933,"Kindergarten",NA
370331002177,"Public","Oaks Road Academy","Craven County",0.979,"Kindergarten","2811 Oaks Road, New Bern, NC 28560"
370331002178,"Public","Roger Bell New Tech Academy","Craven County",0.942,"Kindergarten","804 Fontana Boulevard, Havelock, NC 28532"
370331002173,"Public","Vanceboro-Farm Life Elementary","Craven County",0.963,"Kindergarten","2000 Farm Life Avenue, Vanceboro, NC 28586"
370331002312,"Public","W Jesse Gurganus Elementary","Craven County",1,"Kindergarten","535 Hwy 70 W, Havelock, NC 28532"
370001100414,"Public","Alderman Road Elementary","Cumberland County",0.987,"Kindergarten","2860 Alderman Road, Fayetteville, NC 28306"
370001102119,"Public","Alma O Easom Elementary","Cumberland County",0.774,"Kindergarten","1610 Westlawn Avenue, Fayetteville, NC 28305"
370010302511,"Charter/Lab","Alpha Academy","Cumberland County",0.989,"Kindergarten","8030 Raeford Road, Fayetteville, NC 28304"
370001102085,"Public","Armstrong Elementary","Cumberland County",0.979,"Kindergarten","3395 Dunn Road, Eastover, NC 28312"
370001100395,"Public","Beaver Dam Elementary","Cumberland County",1,"Kindergarten","12059 Hwy 210 S, Roseboro, NC 28382"
370001101377,"Public","Bill Hefner Elementary","Cumberland County",0.929,"Kindergarten","7059 Calamar Drive, Fayetteville, NC 28314"
370001102121,"Public","C Wayne Collier Elementary","Cumberland County",0.928,"Kindergarten","3522 Sturbridge Drive, Hope Mills, NC 28348"
370001100407,"Public","Cliffdale Elementary","Cumberland County",0.596,"Kindergarten","6450 Cliffdale Road, Fayetteville, NC 28314"
370001100408,"Public","College Lakes Elementary","Cumberland County",0.938,"Kindergarten","4963 Rosehill Road, Fayetteville, NC 28311"
36,"Private","Cornerstone Christian Academy (Cumberland)","Cumberland County",0.929,"Kindergarten",NA
370001100411,"Public","Cumberland Road Elementary","Cumberland County",0.909,"Kindergarten","2700 Cumberland Road, Fayetteville, NC 28306"
370001100412,"Public","District No 7 Elementary","Cumberland County",1,"Kindergarten","5721 Smithfield Road, Wade, NC 28395"
370001102283,"Public","E E Miller Elementary","Cumberland County",0.958,"Kindergarten","1361 Rim Road, Fayetteville, NC 28314"
370001100405,"Public","Eastover-Central Elementary","Cumberland County",0.957,"Kindergarten","5174 Dunn Road, Eastover, NC 28312"
370001100416,"Public","Ed V Baldwin Elementary","Cumberland County",0.909,"Kindergarten","4441 Legion Road, Hope Mills, NC 28348"
37,"Private","Fayetteville Academy","Cumberland County",0.97,"Kindergarten",NA
370001102125,"Public","Ferguson-Easley Elementary","Cumberland County",0.792,"Kindergarten","1857 Seabrook Road, Fayetteville, NC 28301"
38,"Private","First Impressions Academy","Cumberland County",0.972,"Kindergarten",NA
39,"Private","Freedom Christian Academy","Cumberland County",0.956,"Kindergarten",NA
370001102513,"Public","Gallberry Farm Elementary","Cumberland County",0.765,"Kindergarten","8019 Byerly Drive, Hope Mills, NC 28348"
370001102128,"Public","Howard L Hall Elementary","Cumberland County",0.902,"Kindergarten","526 Andrews Road, Fayetteville, NC 28311"
370001100409,"Public","J W Coon Elementary","Cumberland County",0.968,"Kindergarten","905 Hope Mills Road, Fayetteville, NC 28304"
370001100431,"Public","J W Seabrook Elementary","Cumberland County",0.909,"Kindergarten","4619 NC Hwy 210 South, Fayetteville, NC 28301"
370001102514,"Public","Lake Rim Elementary","Cumberland County",0.936,"Kindergarten","1455 Hoke Loop Road, Fayetteville, NC 28314"
40,"Private","Liberty Christian Academy (Cumberland)","Cumberland County",1,"Kindergarten",NA
370001102120,"Public","Loyd E Auman Elementary","Cumberland County",0.574,"Kindergarten","6882 Raeford Road, Fayetteville, NC 28304"
370001102129,"Public","Lucile Souders Elementary","Cumberland County",0.885,"Kindergarten","128 Hillview Avenue, Fayetteville, NC 28301"
370001100424,"Public","Manchester Elementary","Cumberland County",0.922,"Kindergarten","611 Spring Avenue, Spring Lake, NC 28390"
370001102130,"Public","Margaret Willis Elementary","Cumberland County",0.786,"Kindergarten","1412 Belvedere Avenue, Fayetteville, NC 28305"
370001100421,"Public","Mary McArthur Elementary","Cumberland County",0.816,"Kindergarten","3809 Village Drive, Fayetteville, NC 28304"
370001100422,"Public","Montclair Elementary","Cumberland County",0.836,"Kindergarten","555 Glensford Drive, Fayetteville, NC 28314"
370001100423,"Public","Morganton Road Elementary","Cumberland County",0.892,"Kindergarten","102 Bonanza Drive, Fayetteville, NC 28303"
370001103160,"Public","New Century International Elementary","Cumberland County",0.87,"Kindergarten","7465 Century Circle, Fayetteville, NC 28306"
41,"Private","Northwood Temple Academy","Cumberland County",0.914,"Kindergarten",NA
370001100427,"Public","Ponderosa Elementary","Cumberland County",0.914,"Kindergarten","311 Bonanza Drive, Fayetteville, NC 28303"
370001100428,"Public","Raleigh Road Elementary","Cumberland County",0.958,"Kindergarten","8330 Ramsey Street, Linden, NC 28356"
370001100430,"Public","Rockfish Elementary","Cumberland County",0.948,"Kindergarten","5763 Rockfish Road, Hope Mills, NC 28348"
370001100434,"Public","Sherwood Park Elementary","Cumberland County",0.944,"Kindergarten","2115 Hope Mills Road, Fayetteville, NC 28304"
42,"Private","St. Ann Catholic School (Cumberland)","Cumberland County",1,"Kindergarten",NA
43,"Private","St. Patrick Catholic School (Cumberland)","Cumberland County",1,"Kindergarten",NA
370001100438,"Public","Stedman Primary","Cumberland County",0.978,"Kindergarten","155 E First Street, Stedman, NC 28391"
370001102575,"Public","Stoney Point Elementary","Cumberland County",0.963,"Kindergarten","7411 Rockfish Road, Fayetteville, NC 28306"
370001100440,"Public","Sunnyside Elementary","Cumberland County",0.855,"Kindergarten","3876 Sunnyside School Road, Fayetteville, NC 28312"
370037003341,"Charter/Lab","The Capitol Encore Academy","Cumberland County",0.965,"Kindergarten","126 Hay Street, Fayetteville, NC 28301"
44,"Private","Trinity Christian School (Cumberland)","Cumberland County",0.97,"Kindergarten",NA
45,"Private","Village Christian Academy (Elementary Grades)","Cumberland County",1,"Kindergarten",NA
370001100442,"Public","Warrenwood Elementary","Cumberland County",0.913,"Kindergarten","4618 Rosehill Road, Fayetteville, NC 28311"
370001100447,"Public","William H Owen Elementary","Cumberland County",0.698,"Kindergarten","4533 Raeford Road, Fayetteville, NC 28304"
370001101097,"Public","William T Brown Elementary","Cumberland County",0.615,"Kindergarten","2522 Andrews Church Road, Spring Lake, NC 28390"
370108000452,"Public","Knotts Island Elementary","Currituck County",0.786,"Kindergarten","413 Woodleigh Road, Knotts Island, NC 27950"
370108000453,"Public","Moyock Elementary","Currituck County",0.988,"Kindergarten","255 Tulls Creek Road, Moyock, NC 27958"
370108002374,"Public","Shawboro Elementary School","Currituck County",0.988,"Kindergarten","370 Shawboro Road, Shawboro, NC 27973"
370111002088,"Public","Cape Hatteras Elementary School","Dare County",0.932,"Kindergarten","47500 Middle Ridge, Buxton, NC 27920"
370111002290,"Public","First Flight Elementary School","Dare County",0.979,"Kindergarten","107 Veterans Drive, Kill Devil Hills, NC 27948"
370111000455,"Public","Kitty Hawk Elementary School","Dare County",0.959,"Kindergarten","16 Dogwood Trail, Kitty Hawk, NC 27949"
