,Unnamed: 0,Facility Number,School Type,School District or Name,County,MMR Vaccination Rate,Age Group,Facility Address
4688,4761,6.30902E+11,Public School,QUEENSBURY ELEM SCHOOL,Warren,100.0,,431 AVIATION RD
4689,4762,1.21401E+11,Public School,MARGARETVILLE CENTRAL SCHOOL,Delaware,100.0,,415 MAIN ST
4690,4763,5.80512E+11,Public School,OAK PARK ELEMENTARY SCHOOL,Suffolk,100.0,,WISCONSIN AVE
4691,4764,2.50701E+11,Public School,HAMILTON ES,Madison,100.0,,W KENDRICK AVENUE
4692,4765,6.71202E+11,Private School,SILVER LAKE MENNONITE SCHOOL,Wyoming,38.0,,6286 BURKE HILL RD
4693,4766,5.80212E+11,Public School,WEST MIDDLE ISLAND SCHOOL,Suffolk,100.0,,30 SWEZEY LN
4694,4767,4.10601E+11,Public School,CAMDEN ELEM SCHOOL,Oneida,100.0,,1 OSWEGO ST
4695,4768,2.61001E+11,Public School,E J WILSON S H S,Monroe,100.0,,2707 SPENCERPORT RD
4696,4769,2.80404E+11,Public School,GUGGENHEIM ELEM SCHOOL,Nassau,100.0,,POPLAR PL
4697,4770,6.609E+11,Public School,PENNINGTON SCHOOL,Westchester,100.0,,20 FAIRWAY ST
4698,4771,3.101E+11,Private School,ST GEORGE ACADEMY,New York,91.0,,215 E SIXTH ST
4699,4772,5.80509E+11,School District,WEST ISLIP UNION FREE SCHOOL,Suffolk,100.0,,100 SHERMAN AVENUE
4700,4773,3.10601E+11,Private School,SCHOOL IN THE SQUARE,New York,96.0,,120 WADSWORTH AVE
4701,4774,3.106E+11,Private School,INCARNATION SCHOOL,New York,98.0,,570 W 175TH ST
4702,4775,2.80202E+11,Private School,ST MARTIN DE PORRES MARIANIST SCHOOL,Nassau,100.0,,530 HEMPSTEAD BLVD
4703,4776,4.41001E+11,Private School,NEW BEGINNINGS MONTESSORI SCHOOL,Orange,100.0,,33 ALBERT STREET
4704,4777,2.80405E+11,Private School,NOTRE DAME SCHOOL,Nassau,100.0,,25 MAYFAIR RD
4705,4778,2.80252E+11,Public School,FLORAL PARK MEMORIAL H S,Nassau,100.0,,210 LOCUST ST
4706,4779,6.71501E+11,Public School,WARSAW ELEM SCHOOL,Wyoming,100.0,,WEST BUFFALO ST
4707,4780,2.30901E+11,Public School,LOWVILLE ELEMENTARY SCHOOL,Lewis,100.0,,7668 STATE ST
4708,4781,1.51102E+11,Private School,ST AGNES PAROCHIAL SCHOOL - SARANAC AVENUE,Essex,97.0,,2322 SARANAC AVE
4709,4782,6.41301E+11,Public School,HUDSON FALLS S H S,Washington,100.0,,E LABARGE ST
4710,4783,4.31401E+11,School District,HONEOYE CENTRAL SCHOOL,Ontario,100.0,,8528 MAIN ST
4711,4784,6.50501E+11,Public School,LYONS HIGH SCHOOL,Wayne,100.0,,10 CLYDE RD
4712,4785,2.80402E+11,Public School,THE WHEATLEY SCHOOL,Nassau,100.0,,11 BACON RD
4713,4786,3.321E+11,Private School,BET YAAKOV OHR SARAH,Kings,100.0,,1123 AVENUE N APT. 2B
4714,4787,5.80902E+11,School District,WESTHAMPTON BEACH U F S,Suffolk,100.0,,340 MILL RD
4715,4788,5.00402E+11,Private School,KESSER BAIS YAKOV,Rockland,94.0,,246 NORTH MAIN ST
4716,4789,3.42601E+11,Private School,SUMMIT SCHOOL (THE),Queens,100.0,,187-30 GRAND CTRL PARK
4717,4790,2.80202E+11,Private School,EVERGREEN CHARTER SCHOOL,Nassau,99.0,,605 PENINSULA BLVD
4718,4791,2.22E+11,School District,WATERTOWN CITY SCHOOLS,Jefferson,100.0,,1351 Washington Street
4719,4792,2.22E+11,Public School,STARBUCK ELEMENTARY SCHOOL,Jefferson,100.0,,430 E HOARD ST
4720,4793,2.20301E+11,Public School,THERESA PRIMARY SCHOOL,Jefferson,99.0,,125 BRIDGE ST
4721,4794,5.12201E+11,School District,NORWOOD NORFOLK CENTRAL SCHOOL,St.Lawrence,100.0,,NORWOOD NORFOLK CENTRAL SCHOOL
4722,4795,2.616E+11,Public School,SCHOOL 25 NATHANIEL HAWTHORNE,Monroe,99.0,,965 NO GOODMAN ST
4723,4796,6.30701E+11,Public School,LAKE GEORGE ELEMENTARY,Warren,99.0,,RT.9L
4724,4797,2.80209E+11,Public School,CAROLINE G ATKINSON SCHOOL,Nassau,100.0,,BOX 50
4725,4798,5.80805E+11,Public School,KINGS PARK H S,Suffolk,100.0,,RT 25A
4726,4799,5.306E+11,Public School,SCHENECTADY HIGH SCHOOL,Schenectady,100.0,,THE PLAZA
4727,4800,5.00201E+11,Public School,THIELLS ELEM SCHOOL,Rockland,100.0,,ROSMAN RD
4728,4801,6.60402E+11,Private School,JOHN CARDINAL OCONNOR SCHOOL,Westchester,100.0,,16 NORTH BROADWAY
4729,4802,5.00101E+11,Private School,ALBERTUS MAGNUS H S,Rockland,100.0,,798 ROUTE 304
4730,4803,3.314E+11,Private School,TALMUD TORAH OF KASHO,Kings,100.0,,324 PENN STREET
4731,4804,3.322E+11,Private School,YESHIVAT OHEL TORAH,Kings,99.0,,2600 OCEAN AVENUE
4732,4805,051901040002,Public School,ANDREW J SMITH ELEMENTARY SCHOOL,Cayuga,100.0,,26 HOMER ST
4733,4806,5.80513E+11,Public School,ANTHONY ALFANO ELEMENTARY SCHOOL,Suffolk,100.0,,50 WHEELER RD
4734,4807,5.30515E+11,Public School,MOHONASEN SHS,Schenectady,99.0,,2072 CURRY RD
4735,4808,3.31801E+11,Private School,CANARSIE CHILDHOOD CTR.,Kings,100.0,,650 EAST 76TH ST
4736,4809,1.40702E+11,School District,CHEEKTOWAGA-MARYVALE UNION FREE SCHOOL,Erie,99.0,,1050 MARYVALE DR
4737,4810,6.21001E+11,School District,MARLBORO CENTRAL SCHOOL,Ulster,99.0,,21 Milton Tpk
4738,4811,050100010013,Public School,AUBURN HS,Cayuga,100.0,,250 LAKE AVE
4739,4812,2.803E+11,Public School,EAST ELEM SCHOOL,Nassau,100.0,,436 NEPTUNE BLVD
4740,4813,5.80509E+11,Public School,MANETUCK ELEM SCHOOL,Suffolk,100.0,,800 VAN BUREN AVE
