Facility Number,School Type,School District or Name,Facility Address,County,MMR Vaccination Rate,Age Group
641501040001.0,Public School,SALEM HIGH SCHOOL,,Washington,100.0,All Grades
650901060002.0,Public School,PALMYRA-MACEDON INTERMEDIATE SCHOOL,,Wayne,100.0,All Grades
332100228502.0,Private School,SHULAMITH H.S. FOR GIRLS,,Kings,100.0,All Grades
10500010000.0,School District,COHOES CITY SCHOOL DISTRICT,,Albany,81.75,All Grades
661100145129.0,Private School,IONA PREP SCHOOL - UPPER,,Westchester,99.87,All Grades
141601060003.0,Public School,CHARLOTTE AVENUE ES,,Erie,100.0,All Grades
530515060001.0,Public School,BRADT PRIMARY SCHOOL,,Schenectady,100.0,All Grades
580507060000.0,School District,CONNETQUOT CENT SCH OF ISLIP,,Suffolk,93.45,All Grades
280502060004.0,Public School,BAYLIS SCHOOL,,Nassau,100.0,All Grades
662300625497.0,Private School,ANDALUSIA SCHOOL,,Westchester,100.0,All Grades
343000230141.0,Private School,GANEINU EARLY LEARNING CENTER,,Queens,85.5,All Grades
580405060000.0,School District,HALF HOLLOW HILLS CENTRAL SCH,,Suffolk,100.0,All Grades
491200010007.0,Public School,RENSSELAER JUNIOR SENIOR HIGH SCHOOL,,Rensselaer,100.0,All Grades
280517175577.0,Private School,HOLY FAMILY SCHOOL,,Nassau,100.0,All Grades
140600010097.0,Public School,PS 192 BUFFALO ACADEMY FOR ARTS,,Erie,100.0,All Grades
50100010005.0,Public School,HERMAN AVENUE ES,,Cayuga,100.0,All Grades
530600010013.0,Public School,PAIGE ELEM SCHOOL,,Schenectady,99.77,All Grades
82001040003.0,Public School,SHERBURNE EARLVILLE JHS,,Chenango,100.0,All Grades
412300010011.0,Public School,MARTIN LUTHER KING JR SCHOOL,,Oneida,100.0,All Grades
661100145183.0,Private School,SALESIAN H S,,Westchester,100.0,All Grades
141604060003.0,Public School,BIG TREE ES,,Erie,99.8,All Grades
342500208524.0,Private School,SHEVACH H.S.,,Queens,100.0,All Grades
110200010009.0,Public School,RANDALL MIDDLE SCHOOL,,Cortland,100.0,All Grades
261600166206.0,Private School,NAZARETH ELEMENTARY SCHOOL,,Monroe,97.5,All Grades
411800010023.0,Public School,LOUIS DENTI SCHOOL,,Oneida,99.66,All Grades
640502040001.0,Public School,FORT ANN ELEM/MIDDLE/HIGH SCHOOL,,Washington,99.77,All Grades
441903020002.0,Public School,GEORGE GRANT MASON ES,,Orange,100.0,All Grades
420411185480.0,Private School,HOLY CROSS SCHOOL,,Onondaga,100.0,All Grades
420401060002.0,Public School,FREMONT ELEM SCHOOL,,Onondaga,100.0,All Grades
400400010009.0,Public School,EMMET BELKNAP J H S,,Niagara,100.0,All Grades
251601060001.0,Public School,BRIDGEPORT ELEM SCHOOL,,Madison,100.0,All Grades
580101030003.0,Public School,BABYLON ELEM SCHOOL,,Suffolk,100.0,All Grades
141901060001.0,Public School,JOHN A SCIOLE ELEM SCHOOL,,Erie,100.0,All Grades
140600010000.0,School District,BUFFALO CITY SCHOOLS,,Erie,98.86,All Grades
280226030006.0,Public School,ISLAND TREES S H S,,Nassau,99.86,All Grades
421800185515.0,Private School,ALL SAINTS ELEMENTARY OF TIPPERARY HILL,,Onondaga,100.0,All Grades
50100010013.0,Public School,AUBURN HS,,Cayuga,99.91,All Grades
460701040003.0,Public School,FAIRLEY SCHOOL,,Oswego,99.54,All Grades
261600165998.0,Private School,NATIVITY PREPARATORY ACADEMY,,Monroe,100.0,All Grades
472202040001.0,Public School,CHERRY VALLEY-SPRINGFIELD JUNIOR-SENIOR HS (and Elem for lead reporting),,Otsego,100.0,All Grades
580206020003.0,Public School,E L VANDERMEULEN H S,,Suffolk,100.0,All Grades
421800010067.0,Public School,PROMISING FUTURES LEADERSHIP ACADEMY,,Onondaga,100.0,All Grades
151801040001.0,Public School,MOUNTAIN VIEW CAMPUS,,Essex,100.0,All Grades
261600861153.0,Charter School,ACADEMY OF HEALTH SCIENCES CHARTER SCHOOL,,Monroe,100.0,All Grades
530301060003.0,Public School,GLENCLIFF SCHOOL,,Schenectady,12.81,All Grades
580410030005.0,Public School,INDIAN HOLLOW SCHOOL,,Suffolk,100.0,All Grades
140600860961.0,Charter School,HEALTH SCIENCES CHARTER SCHOOL,,Erie,100.0,All Grades
50100010002.0,Public School,CASEY PARK ES,,Cayuga,100.0,All Grades
140201060002.0,Public School,AMHERST CENTRAL HS,,Erie,100.0,All Grades
170500010007.0,Public School,PARK TERRACE SCHOOL,,Fulton,99.61,All Grades
480102060003.0,Public School,MATTHEW PATERSON ELEM SCHOOL,,Putnam,99.56,All Grades
331500229762.0,Private School,SHEMA KOLAINU - HEAR OUR VOICES,,Kings,100.0,All Grades
140600010042.0,Public School,PS 42 OCCUPATIONAL TRAINING CTR,,Erie,100.0,All Grades
260501060023.0,Public School,GREECE ARCADIA MIDDLE SCHOOL,,Monroe,100.0,All Grades
280209030007.0,Public School,FREEPORT H S,,Nassau,100.0,All Grades
500402229315.0,Private School,OHR V'DAAS - RISE,,Rockland,100.0,All Grades
420101185482.0,Private School,HOLY FAMILY SCHOOL,,Onondaga,100.0,All Grades
31601060023.0,Public School,GLENWOOD ES,,Broome,99.68,All Grades
580501030004.0,Public School,FIFTH AVENUE SCHOOL,,Suffolk,100.0,All Grades
620803040001.0,Public School,HIGHLAND ELEM SCHOOL,,Ulster,100.0,All Grades
42400010000.0,School District,OLEAN CITY SCHOOLS,,Cattaraugus,99.78,All Grades
332000206898.0,Private School,BETH JACOB H S,,Kings,100.0,All Grades
580233020003.0,Public School,CLAYTON HUEY ELEMENTARY SCHOOL,,Suffolk,100.0,All Grades
140600010006.0,Public School,PS 6 BUFFALO ELEMENTARY SCHOOL OF TECHNOLOGY,,Erie,99.04,All Grades
580205060015.0,Public School,CHIPPEWA ELEM SCHOOL,,Suffolk,99.45,All Grades
580512030009.0,Public School,OAK PARK ELEMENTARY SCHOOL,,Suffolk,99.85,All Grades
261600860906.0,Charter School,ROCHESTER PREP CHARTER - BROOKS AVE,,Monroe,98.45,All Grades
560603659823.0,Private School,DIAMOND CROSSING SCHOOL,,Seneca,52.17,All Grades
441600010010.0,Public School,NEW WINDSOR SCHOOL,,Orange,100.0,All Grades
521701040005.0,Public School,SCHUYLERVILLE MIDDLE SCHOOL,,Saratoga,100.0,All Grades
280521030003.0,Public School,CHARLES CAMPAGNE SCHOOL,,Nassau,100.0,All Grades
