,Facility Number,School Type,School District or Name,County,MMR Vaccination Rate,Age Group,Facility Address
284,370243001045,Public,Jackson Park Elementary,Cabarrus County,100.0,Kindergarten,"1400 Jackson Street, Kannapolis, NC 28083"
285,370053000214,Public,Mount Pleasant Elementary,Cabarrus County,91.4,Kindergarten,"8555 North Drive, Mount Pleasant, NC 28124"
286,370243001047,Public,North Kannapolis Elementary,Rowan County,97.7,Kindergarten,"800 N Walnut Street, Kannapolis, NC 28081"
287,370053003174,Public,Patriots Elementary,Cabarrus County,96.4,Kindergarten,"1510 Holden Rd SW, Concord, NC 28025"
288,370053002750,Public,Pitts School Road Elementary,Cabarrus County,94.3,Kindergarten,"720 Pitts School Road SW, Concord, NC 28027"
289,370053000379,Public,R Brown  McAllister Elementary,Cabarrus County,88.2,Kindergarten,"541 Sunnyside Drive SE, Concord, NC 28025"
290,370053002076,Public,Rocky River Elementary,Cabarrus County,97.4,Kindergarten,"5454 Rocky River Road, Concord, NC 28025"
291,370243001046,Public,Shady Brook Elementary,Cabarrus County,92.6,Kindergarten,"903 Rogers Lake Road, Kannapolis, NC 28081"
292,370034703281,Charter/Lab,Valor Preparatory Academy,Cabarrus County,92.6,Kindergarten,"355 Poplar Crossing Dr NW, Concord, NC 28027"
293,370053002434,Public,W M Irvin Elementary,Cabarrus County,86.3,Kindergarten,"1400 Gold Rush Drive, Concord, NC 28025"
294,370053000218,Public,W R Odell Primary,Cabarrus County,97.2,Kindergarten,"1 Dragon Pride Dr, Concord, NC 28027"
295,370053001818,Public,Weddington Hills Elementary,Cabarrus County,96.5,Kindergarten,"4401 Weddington Road, Concord, NC 28025"
296,370053000219,Public,Winecoff Elementary,Cabarrus County,93.7,Kindergarten,"375 Winecoff Sch Road, Concord, NC 28027"
297,370053000220,Public,Wolf Meadow Elementary,Cabarrus County,93.4,Kindergarten,"150 Wolf Meadow Drive SW, Concord, NC 28027"
298,370058000221,Public,Baton Elementary,Caldwell County,95.8,Kindergarten,"1400 Baton School Road, Granite Falls, NC 28630"
299,370058000222,Public,Collettsville School,Caldwell County,93.3,Kindergarten,"4690 Collettsville School Rd, Collettsville, NC 28611"
300,370058000223,Public,Davenport A+ School,Caldwell County,96.4,Kindergarten,"901 College Avenue SW, Lenoir, NC 28645"
301,370058000224,Public,Dudley Shoals Elementary,Caldwell County,96.8,Kindergarten,"1500 Dudley Shoals Road, Granite Falls, NC 28630"
302,370058000226,Public,Gamewell Elementary,Caldwell County,94.7,Kindergarten,"2904 Morganton Boulevard, Lenoir, NC 28645"
303,370058000228,Public,Granite Falls Elementary,Caldwell County,97.9,Kindergarten,"60 N Highland Avenue, Granite Falls, NC 28630"
304,370058000230,Public,Happy Valley Elementary,Caldwell County,94.1,Kindergarten,"1350 Yadkin River Road, Lenoir, NC 28645"
305,370058000232,Public,Hudson Elementary,Caldwell County,89.9,Kindergarten,"200 Roy Coffey Drive, Hudson, NC 28638"
306,370058000234,Public,Kings Creek Elementary,Caldwell County,94.4,Kindergarten,"3680 Wilkesboro Boulevard, Lenoir, NC 28645"
307,370058000235,Public,Lower Creek Elementary,Caldwell County,98.3,Kindergarten,"630 Lower Creek Drive NE, Lenoir, NC 28645"
308,370048303628,Charter/Lab,Oak Hill Charter School,Caldwell County,90.3,Kindergarten,"4603 Oak Hill School Rd., Lenoir, NC 28645"
309,370058000238,Public,Sawmills Elementary,Caldwell County,100.0,Kindergarten,"4436 Sawmills School Road, Granite Falls, NC 28630"
310,370058000240,Public,Valmead Elementary,Caldwell County,77.8,Kindergarten,"111 Elizabeth Drive NW, Lenoir, NC 28645"
311,370058000243,Public,Whitnel Elementary,Caldwell County,88.5,Kindergarten,"1425 Berkley Street SW, Lenoir, NC 28645"
312,370060000248,Public,Grandy Primary,Camden County,96.4,Kindergarten,"175 NC Hwy 343 North, Camden, NC 27921"
313,34,Private,A Sea of Learning,Carteret County,100.0,Kindergarten,
314,370063000249,Public,Atlantic Elementary,Carteret County,100.0,Kindergarten,"151 School Drive, Atlantic, NC 28511"
315,370063000250,Public,Beaufort Elementary,Carteret County,98.3,Kindergarten,"110 Carraway Drive, Beaufort, NC 28516"
316,370063002368,Public,Bogue Sound Elementary,Carteret County,96.7,Kindergarten,"3323 Highway 24, Newport, NC 28570"
317,370063000258,Public,Down East Middle and Smyrna Elementary,Carteret County,100.0,Kindergarten,"174 Marshallberg Road, Smyrna, NC 28579"
318,35,Private,Gramercy Christian School,Carteret County,95.5,Kindergarten,
319,370063000254,Public,Harkers Island Elementary,Carteret County,100.0,Kindergarten,"1163 Island Road, Harkers Island, NC 28531"
320,370063001044,Public,Morehead City Primary,Carteret County,95.7,Kindergarten,"4409 Country Club Road, Morehead City, NC 28557"
322,370063000257,Public,Newport Elementary,Carteret County,98.8,Kindergarten,"219 Chatham Street, Newport, NC 28570"
323,37,Private,St. Egbert Catholic School,Carteret County,73.7,Kindergarten,
324,370005202371,Charter/Lab,Tiller School,Carteret County,94.1,Kindergarten,"1950 Live Oak Street, Beaufort, NC 28516"
325,370063000260,Public,White Oak Elementary,Carteret County,94.2,Kindergarten,"555 WB McLean Drive, Cape Carteret, NC 28584"
326,370066000117,Public,North Elementary,Caswell County,93.8,Kindergarten,"10390 NC Hwy 86 N, Providence, NC 27315"
327,370066000269,Public,Oakwood Elementary,Caswell County,93.4,Kindergarten,"274 Oakwood Drive, Yanceyville, NC 27379"
328,370066000128,Public,South Elementary,Caswell County,88.6,Kindergarten,"8925 NC Hwy 86 S, Mebane, NC 27302"
329,370066000271,Public,Stoney Creek Elementary,Caswell County,90.0,Kindergarten,"1803 Stoney Creek School Road, Reidsville, NC 27320"
330,370069000273,Public,Balls Creek Elementary,Catawba County,85.0,Kindergarten,"2620 Balls Creek Road, Newton, NC 28658"
331,370069000275,Public,Banoak Elementary,Catawba County,96.6,Kindergarten,"7651 W NC 10 Hwy, Vale, NC 28168"
332,370069000276,Public,Blackburn Elementary,Catawba County,90.9,Kindergarten,"4377 W NC 10 Hwy, Newton, NC 28658"
333,370069000278,Public,Catawba Elementary School,Catawba County,92.9,Kindergarten,"5415 Hudson Chapel Road, Catawba, NC 28609"
334,370069000279,Public,Charles H Tuttle Elementary,Catawba County,95.6,Kindergarten,"2872 Water Plant Road, Maiden, NC 28650"
335,38,Private,Christian Family Academy,Catawba County,85.7,Kindergarten,
336,370069000280,Public,Claremont Elementary,Catawba County,96.8,Kindergarten,"3384 E Main Street, Claremont, NC 28610"
337,370069000281,Public,Clyde Campbell Elementary,Catawba County,100.0,Kindergarten,"2121 35th Avenue Drive NE, Hickory, NC 28601"
338,39,Private,Concordia Christian Day Sch.,Catawba County,100.0,Kindergarten,
339,40,Private,Hickory Christian Academy,Catawba County,65.5,Kindergarten,
340,41,Private,Hickory Day School,Catawba County,83.3,Kindergarten,
341,370069002573,Public,Lyle Creek Elementary,Catawba County,98.0,Kindergarten,"1845 Edgewater Drive NW, Conover, NC 28613"
342,370069000284,Public,Maiden Elementary,Catawba County,97.6,Kindergarten,"201 N Main Avenue, Maiden, NC 28650"
343,370069000286,Public,Mountain View Elementary,Catawba County,92.6,Kindergarten,"5911 Dwayne Starnes Road, Hickory, NC 28602"
344,370336001405,Public,North Newton Elementary,Catawba County,95.8,Kindergarten,"221 West 26th St, Newton, NC 28658"
345,370219000948,Public,Oakwood Elementary,Catawba County,100.0,Kindergarten,"366 4th Street NW, Hickory, NC 28601"
346,370069000287,Public,Oxford Elementary,Catawba County,95.8,Kindergarten,"5915 Oxford School Road, Claremont, NC 28610"
347,370069000289,Public,Saint Stephens Elementary,Catawba County,92.0,Kindergarten,"684 30th Street NE, Conover, NC 28613"
348,370069000288,Public,Sherrills Ford Elementary,Catawba County,92.9,Kindergarten,"8103 Sherrills Ford Road, Sherrills Ford, NC 28673"
349,370336001403,Public,Shuford Elementary,Catawba County,92.1,Kindergarten,"810 Hunsucker Drive, Conover, NC 28613"
350,370069003084,Public,Snow Creek Elementary,Catawba County,97.1,Kindergarten,"3238 Snow Creek Rd, Hickory, NC 28601"
351,370336001404,Public,South Newton Elementary,Catawba County,98.1,Kindergarten,"306 West I Street, Newton, NC 28658"
352,370219000949,Public,Southwest Primary,Catawba County,96.7,Kindergarten,"1580 32nd Street SW, Hickory, NC 28602"
353,42,Private,St. Stephen's Lutheran School,Catawba County,92.0,Kindergarten,
354,370069000291,Public,Startown Elementary,Catawba County,98.6,Kindergarten,"4119 Startown Road, Newton, NC 28658"
355,43,Private,Tabernacle Christian School,Catawba County,91.5,Kindergarten,
356,370219000950,Public,Viewmont Elementary,Catawba County,94.1,Kindergarten,"21 16th Avenue NW, Hickory, NC 28601"
357,370219000945,Public,W M Jenkins Elementary,Catawba County,94.1,Kindergarten,"3750 N Center Street, Hickory, NC 28601"
358,370069000293,Public,Webb A Murray Elementary,Catawba County,94.0,Kindergarten,"3901 Section House Road, Hickory, NC 28601"
359,370075000304,Public,Bennett School,Chatham County,86.4,Kindergarten,"61 Randolph Street, Bennett, NC 27208"
360,370075000305,Public,Bonlee School,Chatham County,86.5,Kindergarten,"152 Bonlee School Road, Bear Creek, NC 27207"
361,370002002081,Charter/Lab,Chatham Charter,Chatham County,95.0,Kindergarten,"2200 Hamp Stone Rd, Siler City, NC 27344"
362,370075003516,Public,Chatham Grove Elementary,Chatham County,95.2,Kindergarten,"1301 Andrews Store Rd, Pittsboro, NC 27312"
363,370075000310,Public,J S Waters School,Chatham County,100.0,Kindergarten,"55 J S Waters School Road, Goldston, NC 27252"
364,370075000312,Public,Moncure School,Chatham County,94.1,Kindergarten,"600 Moncure School Road, Moncure, NC 27559"
365,370075002288,Public,North Chatham Elementary,Chatham County,97.7,Kindergarten,"3380 Lystra Road, Chapel Hill, NC 27517"
366,370075002080,Public,Perry W Harrison Elementary,Chatham County,94.6,Kindergarten,"2655 Hamlet Chapel Road, Pittsboro, NC 27312"
367,370075000314,Public,Pittsboro Elementary,Chatham County,93.0,Kindergarten,"375 Pittsboro School Road, Pittsboro, NC 27312"
368,370075000315,Public,Siler City Elementary,Chatham County,91.6,Kindergarten,"671 Ellington Road, Siler City, NC 27344"
369,370075000316,Public,Silk Hope School,Chatham County,90.6,Kindergarten,"7945 Silk Hope Gum Springs Rd, Siler City, NC 27344"
370,44,Private,Thales Academy Pittsboro,Chatham County,97.9,Kindergarten,
371,370075002815,Public,Virginia Cross Elementary,Chatham County,93.9,Kindergarten,"234 Cross School Road, Siler City, NC 27344"
372,370034103301,Charter/Lab,Willow Oak Montessori,Chatham County,97.0,Kindergarten,"1476 Andrews Store Road, Pittsboro, NC 27312"
373,370005302372,Charter/Lab,Woods Charter,Chatham County,93.8,Kindergarten,"160 Woodland Grove Ln, Chapel Hill, NC 27516"
374,370078000317,Public,Andrews Elementary,Cherokee County,84.1,Kindergarten,"205 Jean Christy Ave., Andrews, NC 28901"
375,370078000319,Public,Hiwassee Dam Elementary/Middle,Cherokee County,78.6,Kindergarten,"337 Blue Eagle Circle, Murphy, NC 28906"
376,370078000321,Public,Martins Creek Elementary/Mid,Cherokee County,72.7,Kindergarten,"1459 Tobe Stalcup Road, Murphy, NC 28906"
377,370078000322,Public,Murphy Elementary,Cherokee County,80.0,Kindergarten,"315 Valley River Avenue, Murphy, NC 28906"
378,370078000324,Public,Peachtree Elementary,Cherokee County,89.7,Kindergarten,"30 Upper Peachtree Road, Murphy, NC 28906"
379,370078000325,Public,Ranger Elementary/Middle,Cherokee County,94.3,Kindergarten,"101 Hardy Truett Road, Murphy, NC 28906"
380,45,Private,Oak Grove Christian Academy,Chowan County,36.4,Kindergarten,
381,370084000331,Public,White Oak Elementary,Chowan County,95.9,Kindergarten,"111 Sandy Ridge Road, Edenton, NC 27932"
382,370087003526,Public,Hayesville Primary School,Clay County,86.6,Kindergarten,"698 Anderson St, Hayesville, NC 28904"
383,370090002707,Public,Bethware Elementary,Cleveland County,95.9,Kindergarten,"115 Bethware Drive, Kings Mountain, NC 28086"
384,370090000335,Public,Boiling Springs Elementary,Cleveland County,95.4,Kindergarten,"1522 Patrick Avenue, Shelby, NC 28152"
385,370090000338,Public,Casar Elementary,Cleveland County,100.0,Kindergarten,"436 Schoolhouse Road, Casar, NC 28020"
386,370090002709,Public,East Elementary,Cleveland County,94.6,Kindergarten,"600 Cleveland Avenue, Kings Mountain, NC 28086"
387,370090000343,Public,Elizabeth Elementary,Cleveland County,93.2,Kindergarten,"220 S Post Road, Shelby, NC 28152"
388,370090000344,Public,Fallston Elementary,Cleveland County,97.6,Kindergarten,"112 Gary Street, Fallston, NC 28042"
389,46,Private,Gaston Christian - Shelby,Cleveland County,86.7,Kindergarten,
390,370090002711,Public,Grover Elementary,Cleveland County,88.1,Kindergarten,"206 Carolina Avenue, Grover, NC 28073"
391,370090002712,Public,James Love Elementary,Cleveland County,98.2,Kindergarten,"309 James Love Road, Shelby, NC 28152"
392,370090002713,Public,Jefferson Elementary,Cleveland County,97.3,Kindergarten,"1166 Wyke Road, Shelby, NC 28150"
393,370090002718,Public,North Elementary,Cleveland County,96.7,Kindergarten,"900 N Ramseur Street, Kings Mountain, NC 28086"
394,370035303291,Charter/Lab,Pinnacle Classical Academy,Cleveland County,95.3,Kindergarten,"2401 Joes Lake Rd, Shelby, NC 28152"
395,370090002509,Public,Springmore Elementary,Cleveland County,98.0,Kindergarten,"616 McBrayer Homestead Road, Shelby, NC 28152"
396,370090000348,Public,Township Three Elementary,Cleveland County,94.6,Kindergarten,"526 Davis Road, Shelby, NC 28152"
397,370090002289,Public,Union Elementary,Cleveland County,100.0,Kindergarten,"1440 Union Church Road, Shelby, NC 28150"
398,370090000350,Public,Washington Elementary,Cleveland County,91.5,Kindergarten,"1907 Stony Point Road, Shelby, NC 28150"
399,370090002722,Public,West Elementary,Cleveland County,93.2,Kindergarten,"500 W Mountain Street, Kings Mountain, NC 28086"
400,370096000357,Public,Acme Delco Elementary,Columbus County,100.0,Kindergarten,"16337 Old Lake Road, Riegelwood, NC 28456"
401,370096000362,Public,Chadbourn Elementary,Columbus County,86.7,Kindergarten,"409 E Third Avenue, Chadbourn, NC 28431"
402,370014002923,Charter/Lab,Classical Charter Schools of Whiteville,Columbus County,99.0,Kindergarten,"35 Bacon's Way, Whiteville, NC 28472"
403,370096000367,Public,Hallsboro-Artesia Elementary,Columbus County,92.5,Kindergarten,"1337 Giles Byrd Road, Hallsboro, NC 28442"
404,370096000370,Public,Old Dock Elementary,Columbus County,97.8,Kindergarten,"12489 New Britton Hwy, Whiteville, NC 28472"
405,370096003644,Public,Tabor City School,Columbus County,94.8,Kindergarten,"203 Stake Road, Tabor City, NC 28463"
406,370096003621,Public,West Columbus School,Columbus County,89.6,Kindergarten,"7685 Andrew Jackson Hwy SW, Cerro Gordo, NC 28430"
407,370492001969,Public,Whiteville Primary,Columbus County,88.1,Kindergarten,"805 Barbcrest Avenue, Whiteville, NC 28472"
408,370096000374,Public,Williams Township,Columbus County,93.8,Kindergarten,"10400 James B White Hwy, Whiteville, NC 28472"
409,370331000380,Public,Albert H Bangert Elementary,Craven County,97.4,Kindergarten,"3712 Canterbury Road, New Bern, NC 28562"
410,47,Private,Annunciation Catholic School,Craven County,63.2,Kindergarten,
411,370331002181,Public,Arthur W Edwards Elementary,Craven County,96.0,Kindergarten,"200 Education Lane, Havelock, NC 28532"
412,370331002310,Public,Ben D Quinn Elementary,Craven County,97.9,Kindergarten,"4275 M L King Jr Boulevard, New Bern, NC 28562"
413,370331000381,Public,Bridgeton Elementary,Craven County,95.0,Kindergarten,"230 Branch Canal Road, New Bern, NC 28560"
414,370331002171,Public,Brinson Memorial Elementary,Craven County,97.1,Kindergarten,"319 Neuse Forest Avenue, New Bern, NC 28560"
415,370331002980,Public,Creekside Elementary,Craven County,91.7,Kindergarten,"2790 Landscape Drive, New Bern, NC 28562"
416,48,Private,Epiphany School of Global Studies,Craven County,93.9,Kindergarten,
417,370331000382,Public,Graham A Barden Elementary,Craven County,100.0,Kindergarten,"200 Cedar Drive, Havelock, NC 28532"
418,370331002175,Public,Havelock Elementary,Craven County,93.2,Kindergarten,"201 Cunningham Boulevard, Havelock, NC 28532"
419,370331000387,Public,J T Barber Elementary,Craven County,100.0,Kindergarten,"1700 Cobb Street, New Bern, NC 28560"
420,370331002211,Public,James W Smith Elementary,Craven County,94.1,Kindergarten,"150 Koonce Town Road, Cove City, NC 28523"
