Facility Number,Facility Address,School Type,School District or Name,County,Age Group,MMR Vaccination Rate
,,,ST BENEDICT CATHEDRAL SCHOOL,VANDERBURGH,6,96.97
,,,EAST ALLEN UNIVERSITY,ALLEN,12,100
,,,HERITAGE JR/SR HIGH SCHOOL,ALLEN,12,100
,,,LEO JUNIOR/SENIOR HIGH SCHOOL,ALLEN,12,97.48
,,,NEW HAVEN JR/SR HIGH SCHOOL,ALLEN,12,96.68
,,,WOODLAN JR/SR HIGH SCHOOL,ALLEN,12,95.71
,,,HERITAGE JR/SR HIGH SCHOOL,ALLEN,7,98.28
,,,LEO JUNIOR/SENIOR HIGH SCHOOL,ALLEN,7,92.86
,,,NEW HAVEN JR/SR HIGH SCHOOL,ALLEN,7,97.14
,,,PAUL HARDING JR HIGH SCHOOL,ALLEN,7,97.14
,,,WOODLAN JR/SR HIGH SCHOOL,ALLEN,7,92.06
,,,CEDARVILLE ELEMENTARY SCHOOL,ALLEN,K,93.55
,,,HERITAGE ELEMENTARY SCHOOL,ALLEN,K,87.23
,,,NEW HAVEN PRIMARY SCHOOL,ALLEN,K,87.39
,,,SOUTHWICK ELEMENTARY SCHOOL,ALLEN,K,84.34
,,,WOODLAN ELEMENTARY SCHOOL,ALLEN,K,83.72
,,,HERITAGE ELEMENTARY SCHOOL,ALLEN,6,93.18
,,,LEO ELEMENTARY SCHOOL,ALLEN,6,96.45
,,,NEW HAVEN INTERMEDIATE SCHOOL,ALLEN,6,98.53
,,,PRINCE CHAPMAN ACADEMY,ALLEN,6,97.48
,,,WOODLAN ELEMENTARY SCHOOL,ALLEN,6,91.43
,,,CEDARVILLE ELEMENTARY SCHOOL,ALLEN,1,92.86
,,,HERITAGE ELEMENTARY SCHOOL,ALLEN,1,87.18
,,,NEW HAVEN PRIMARY SCHOOL,ALLEN,1,93.02
,,,SOUTHWICK ELEMENTARY SCHOOL,ALLEN,1,93.04
,,,WOODLAN ELEMENTARY SCHOOL,ALLEN,1,95
,,,CHARTER SCHOOL OF THE DUNES,LAKE,7,95.74
,,,CHARTER SCHOOL OF THE DUNES,LAKE,1,78.95
,,,CHARTER SCHOOL OF THE DUNES,LAKE,K,80.85
,,,CHARTER SCHOOL OF THE DUNES,LAKE,6,97.87
,,,INDIANA SCHOOL FOR THE DEAF,MARION,12,100
,,,INDIANA SCHOOL FOR THE DEAF,MARION,1,100
,,,INDIANA SCHOOL FOR THE DEAF,MARION,6,84.62
,,,INDIANA SCHOOL FOR THE DEAF,MARION,7,100
,,,INDIANA SCHOOL FOR THE DEAF,MARION,K,62.5
,,,LAKEWOOD PARK CHRISTIAN SCHOOL,DE KALB,1,85
,,,LAKEWOOD PARK CHRISTIAN SCHOOL,DE KALB,12,84
,,,LAKEWOOD PARK CHRISTIAN SCHOOL,DE KALB,7,79.55
,,,LAKEWOOD PARK CHRISTIAN SCHOOL,DE KALB,6,83.33
,,,LAKEWOOD PARK CHRISTIAN SCHOOL,DE KALB,K,92.59
,,,HOLY CROSS LUTHERAN SCHOOL,ALLEN,7,100
,,,CLIFTY CREEK ELEMENTARY SCHOOL,BARTHOLOMEW,1,93.4
,,,CSA FODREA CAMPUS,BARTHOLOMEW,1,92.31
,,,CSA LINCOLN CAMPUS,BARTHOLOMEW,1,96.15
,,,L F SMITH ELEMENTARY,BARTHOLOMEW,1,95.83
,,,LILLIAN SCHMITT ELEMENTARY SCHOOL,BARTHOLOMEW,1,85.44
,,,MOUNT HEALTHY ELEMENTARY SCHOOL,BARTHOLOMEW,1,90.2
,,,PARKSIDE ELEMENTARY SCHOOL,BARTHOLOMEW,1,95.35
,,,ROCKCREEK ELEMENTARY SCHOOL,BARTHOLOMEW,1,98.28
,,,SOUTHSIDE ELEMENTARY SCHOOL,BARTHOLOMEW,1,91.03
,,,TAYLORSVILLE ELEMENTARY SCHOOL,BARTHOLOMEW,1,92.68
,,,W D RICHARDS ELEMENTARY SCHOOL,BARTHOLOMEW,1,94.81
,,,CLIFTY CREEK ELEMENTARY SCHOOL,BARTHOLOMEW,6,84.93
,,,CSA FODREA CAMPUS,BARTHOLOMEW,6,97.62
,,,CSA LINCOLN CAMPUS,BARTHOLOMEW,6,91.49
,,,L F SMITH ELEMENTARY,BARTHOLOMEW,6,94.92
,,,LILLIAN SCHMITT ELEMENTARY SCHOOL,BARTHOLOMEW,6,90.1
,,,MOUNT HEALTHY ELEMENTARY SCHOOL,BARTHOLOMEW,6,98.46
,,,PARKSIDE ELEMENTARY SCHOOL,BARTHOLOMEW,6,95.65
,,,ROCKCREEK ELEMENTARY SCHOOL,BARTHOLOMEW,6,97.92
,,,SOUTHSIDE ELEMENTARY SCHOOL,BARTHOLOMEW,6,95.04
,,,TAYLORSVILLE ELEMENTARY SCHOOL,BARTHOLOMEW,6,98.7
,,,W D RICHARDS ELEMENTARY SCHOOL,BARTHOLOMEW,6,94.19
,,,CENTRAL MIDDLE SCHOOL,BARTHOLOMEW,7,95.13
,,,NORTHSIDE MIDDLE SCHOOL,BARTHOLOMEW,7,99.34
